,year,Name,Abbr,Votes,Percent,Mandates
0,1945,Sozialistische Partei Österreich,SPö,120,30,19
1,['1999'],Sozialdemokratische Partei Österreichs,SPÖ,1532448,33.15%,
2,['1999'],Österreichische Volkspartei,ÖVP,1243672,26.91%,
3,['1999'],Freiheitliche Partei Österreichs,FPÖ,1244087,26.91%,
4,['1999'],Liberales Forum - Heide Schmidt,LIF,168612,3.65%,
5,['1999'],Die Grünen - Die Grüne Alternative,GRÜNE,342260,7.40%,
6,['1999'],Kommunistische Partei Österreichs,KPÖ,22016,0.48%,
7,['1999'],Die Unabhängigen - Liste Lugner,DU,46943,1.02%,
8,['1999'],Nein zu NATO und EU Neutrales Österreich Bürgerinitiative,NEIN,19286,0.42%,
9,['1999'],Christliche Wählergemeinschaft,CWG,3030,0.07%,
10,['2002'],Sozialdemokratische Partei Österreichs,SPÖ,1532448,33.15%,
11,['2002'],Österreichische Volkspartei,ÖVP,1243672,26.91%,
12,['2002'],Freiheitliche Partei Österreichs,FPÖ,1244087,26.91%,
13,['2002'],Liberales Forum - Heide Schmidt,LIF,168612,3.65%,
14,['2002'],Die Grünen - Die Grüne Alternative,GRÜNE,342260,7.40%,
15,['2002'],Kommunistische Partei Österreichs,KPÖ,22016,0.48%,
16,['2002'],Die Unabhängigen - Liste Lugner,DU,46943,1.02%,
17,['2002'],Nein zu NATO und EU Neutrales Österreich Bürgerinitiative,NEIN,19286,0.42%,
18,['2002'],Christliche Wählergemeinschaft,CWG,3030,0.07%,
19,['2002'],Sozialdemokratische Partei Österreichs,SPÖ,1792499,36.51%,
20,['2002'],Freiheitliche Partei Österreichs,FPÖ,491328,10.01%,
21,['2002'],Österreichische Volkspartei,ÖVP,2076833,42.30%,
22,['2002'],Die Grünen - Die Grüne Alternative,GRÜNE,464980,9.47%,
23,['2002'],Kommunistische Partei Österreichs,KPÖ,27568,0.56%,
24,['2002'],Die Liberalen (Liberales Forum),LIF,48083,0.98%,
25,['2002'],Die Demokraten, ,2439,0.05%,
26,['2002'],Christliche Wählergemeinschaft,CWG,2009,0.04%,
27,['2002'],Sozialistische Links Partei,SLP,3906,0.08%,
28,['2006'],Sozialdemokratische Partei Österreichs,SPÖ,1532448,33.15%,
29,['2006'],Österreichische Volkspartei,ÖVP,1243672,26.91%,
30,['2006'],Freiheitliche Partei Österreichs,FPÖ,1244087,26.91%,
31,['2006'],Liberales Forum - Heide Schmidt,LIF,168612,3.65%,
32,['2006'],Die Grünen - Die Grüne Alternative,GRÜNE,342260,7.40%,
33,['2006'],Kommunistische Partei Österreichs,KPÖ,22016,0.48%,
34,['2006'],Die Unabhängigen - Liste Lugner,DU,46943,1.02%,
35,['2006'],Nein zu NATO und EU Neutrales Österreich Bürgerinitiative,NEIN,19286,0.42%,
36,['2006'],Christliche Wählergemeinschaft,CWG,3030,0.07%,
37,['2006'],Sozialdemokratische Partei Österreichs,SPÖ,1792499,36.51%,
38,['2006'],Freiheitliche Partei Österreichs,FPÖ,491328,10.01%,
